CREATED_AT,BYN,PLN,EUR
2020-07-27,2.391419,3.731501,0.849695
2020-07-28,2.414614,3.76597,0.853355
2020-07-29,2.424955,3.73901,0.848715
2020-07-30,2.444017,3.71385,0.842325
2020-07-31,2.448489,3.74805,0.848983
2020-08-01,2.448489,3.74805,0.848896
2020-08-02,2.448489,3.75493,0.84876
2020-08-03,2.440265,3.75175,0.850201
2020-08-04,2.448426,3.72175,0.846375
2020-08-05,2.438553,3.70685,0.842285
2020-08-06,2.446845,3.72025,0.842101
2020-08-07,2.451386,3.74408,0.848526
2020-08-08,2.457916,3.744304,0.848259
2020-08-09,2.457916,3.74667,0.848799
2020-08-10,2.4633,3.748702,0.851975
2020-08-11,2.45827,3.75485,0.852065
2020-08-12,2.459252,3.73295,0.847907
2020-08-13,2.461496,3.722703,0.846295
2020-08-14,2.461746,3.71308,0.84442
2020-08-15,2.461746,3.71308,0.844423
2020-08-16,2.461746,3.71205,0.843803
2020-08-17,2.468757,3.70295,0.842098
2020-08-18,2.452293,3.663898,0.836995
2020-08-19,2.468869,3.716825,0.844352
2020-08-20,2.493439,3.69235,0.84235
2020-08-21,2.539703,3.743404,0.847781
2020-08-22,2.539703,3.743404,0.847817
2020-08-23,2.539703,3.739502,0.847625
2020-08-24,2.547012,3.72551,0.847875
2020-08-25,2.610559,3.71651,0.844975
2020-08-26,2.662593,3.727895,0.8445
2020-08-27,2.662566,3.73185,0.846075
2020-08-28,2.67029,3.68589,0.83998
2020-08-29,2.67029,3.68589,0.839877
2020-08-30,2.67029,3.681096,0.83908
2020-08-31,2.657223,3.68441,0.837615
2020-09-01,2.640333,3.68105,0.838725
2020-09-02,2.653134,3.72515,0.844095
2020-09-03,2.650143,3.74925,0.844635
2020-09-04,2.633009,3.764475,0.844691
2020-09-05,2.633009,3.764475,0.844691
2020-09-06,2.633009,3.768012,0.845025
2020-09-07,2.646975,3.752275,0.845994
2020-09-08,2.640438,3.78295,0.849701
2020-09-09,2.62813,3.76155,0.847105
2020-09-10,2.609434,3.76551,0.845735
2020-09-11,2.595979,3.76065,0.84406
2020-09-12,2.595979,3.76065,0.84406
2020-09-13,2.595979,3.75785,0.844499
2020-09-14,2.598742,3.746651,0.842567
2020-09-15,2.584577,3.761935,0.844305
2020-09-16,2.576066,3.770503,0.847235
2020-09-17,2.576287,3.75918,0.844035
2020-09-18,2.568413,3.766825,0.84457
2020-09-19,2.568413,3.76683,0.844616
2020-09-20,2.568413,3.76135,0.84423
2020-09-21,2.585697,3.820196,0.84987
2020-09-22,2.584827,3.82855,0.854115
2020-09-23,2.593459,3.87255,0.857765
2020-09-24,2.603817,3.89919,0.856685
2020-09-25,2.613297,3.912304,0.85978
2020-09-26,2.613297,3.912304,0.859734
2020-09-27,2.613297,3.91515,0.85948
2020-09-28,2.625242,3.92885,0.85627
2020-09-29,2.626581,3.85775,0.851665
2020-09-30,2.618037,3.86555,0.852899
2020-10-01,2.598685,3.8158,0.851455
2020-10-02,2.622458,3.84355,0.853479
2020-10-03,2.622458,3.84355,0.853457
2020-10-04,2.622458,3.83625,0.853245
2020-10-05,2.624803,3.812101,0.848098
2020-10-06,2.619399,3.82595,0.851985
2020-10-07,2.621065,3.810304,0.849717
2020-10-08,2.609739,3.81365,0.849943
2020-10-09,2.577299,3.778904,0.845359
2020-10-10,2.577299,3.778904,0.845248
2020-10-11,2.577299,3.780798,0.846285
2020-10-12,2.570487,3.773155,0.846399
2020-10-13,2.569881,3.827603,0.851655
2020-10-14,2.57692,3.84477,0.851525
2020-10-15,2.573844,3.88155,0.854205
2020-10-16,2.57268,3.88121,0.853607
2020-10-17,2.57268,3.88121,0.853607
2020-10-18,2.57268,3.88095,0.853595
2020-10-19,2.562878,3.88705,0.849803
2020-10-20,2.559275,3.85705,0.845345
2020-10-21,2.545605,3.857885,0.843703
2020-10-22,2.543905,3.870449,0.846405
2020-10-23,2.53699,3.85147,0.843149
2020-10-24,2.53699,3.85147,0.842993
2020-10-25,2.53699,3.85665,0.844131
2020-10-26,2.542113,3.87755,0.8467
2020-10-27,2.557268,3.892925,0.848745
2020-10-28,2.577244,3.94225,0.851165
2020-10-29,2.640234,3.96175,0.856396
2020-10-30,2.630393,3.95555,0.856504
2020-10-31,2.630393,3.95555,0.856348
2020-11-01,2.630393,3.961175,0.858995
2020-11-02,2.660087,3.954235,0.858965
